id,text,value
22009,Le Bodéo - 22320,le-bodeo
22011,Boqueho - 22170,boqueho
22012,La Bouillie - 22240,la-bouillie
22013,Bourbriac - 22390,bourbriac
22014,Bourseul - 22130,bourseul
22015,Bréhand - 22510,brehand
22016,Île-de-Bréhat - 22870,ile-de-brehat
22018,Brélidy - 22140,brelidy
22019,Bringolo - 22170,bringolo
22020,Broons - 22250,broons
22021,Brusvily - 22100,brusvily
22023,Bulat-Pestivien - 22160,bulat-pestivien
22024,Calanhel - 22160,calanhel
23001,Ahun - 23150,ahun
23002,Ajain - 23380,ajain
23003,Alleyrat - 23200,alleyrat-2
23004,Anzême - 23000,anzeme
23005,Arfeuille-Châtain - 23700,arfeuille-chatain
23006,Arrènes - 23210,arrenes
23007,Ars - 23480,ars-2
23008,Aubusson - 23200,aubusson
23009,Auge - 23170,auge-2
23010,Augères - 23210,augeres
23011,Aulon - 23210,aulon-23011
23012,Auriat - 23400,auriat
23013,Auzances - 23700,auzances
23014,Azat-Châtenet - 23210,azat-chatenet
23015,Azerables - 23160,azerables
23016,Banize - 23120,banize
23017,Basville - 23260,basville
23018,Bazelat - 23160,bazelat
23019,Beissat - 23260,beissat
23020,Bellegarde-en-Marche - 23190,bellegarde-en-marche
24001,Abjat-sur-Bandiat - 24300,abjat-sur-bandiat
24002,Agonac - 24460,agonac
24004,Ajat - 24210,ajat
24005,Alles-sur-Dordogne - 24480,alles-sur-dordogne
24006,Allas-les-Mines - 24220,allas-les-mines
24007,Allemans - 24600,allemans
24008,Angoisse - 24270,angoisse
24009,Anlhiac - 24160,anlhiac
24010,Annesse-et-Beaulieu - 24430,annesse-et-beaulieu
24011,Antonne-et-Trigonant - 24420,antonne-et-trigonant
24012,Archignac - 24590,archignac
24014,Aubas - 24290,aubas
24015,Audrix - 24260,audrix
24016,Augignac - 24300,augignac
24018,Auriac-du-Périgord - 24290,auriac-du-perigord
24019,Azerat - 24210,azerat
24020,La Bachellerie - 24210,la-bachellerie
24021,Badefols-d'Ans - 24390,badefols-d-ans
24022,Badefols-sur-Dordogne - 24150,badefols-sur-dordogne
24023,Baneuil - 24150,baneuil
25001,Abbans-Dessous - 25320,abbans-dessous
25002,Abbans-Dessus - 25440,abbans-dessus
25003,Abbenans - 25340,abbenans
25004,Abbévillers - 25310,abbevillers
25005,Accolans - 25250,accolans
25006,Adam-lès-Passavant - 25360,adam-les-passavant
25007,Adam-lès-Vercel - 25530,adam-les-vercel
25008,Aibre - 25750,aibre
25009,Aïssey - 25360,aissey
25011,Allenjoie - 25490,allenjoie
25012,Les Alliés - 25300,les-allies
25013,Allondans - 25550,allondans
25014,Amagney - 25220,amagney
25015,Amancey - 25330,amancey
25016,Amathay-Vésigneux - 25330,amathay-vesigneux
25017,Amondans - 25330,amondans
25018,Anteuil - 25340,anteuil
25019,Appenans - 25250,appenans
25020,Arbouans - 25400,arbouans
25021,Arc-et-Senans - 25610,arc-et-senans
26001,Solaure en Diois - 26150,aix-en-diois
26002,Albon - 26140,albon
26003,Aleyrac - 26770,aleyrac
26004,Alixan - 26300,alixan
26005,Allan - 26780,allan
26006,Allex - 26400,allex
26007,Ambonil - 26800,ambonil
26008,Ancône - 26200,ancone
26009,Andancette - 26140,andancette
26010,Anneyron - 26140,anneyron
26011,Aouste-sur-Sye - 26400,aouste-sur-sye
26012,Arnayon - 26470,arnayon
26013,Arpavon - 26110,arpavon
26014,Arthémonay - 26260,arthemonay
26015,Aubenasson - 26340,aubenasson
26016,Aubres - 26110,aubres
26017,Aucelon - 26340,aucelon
26018,Aulan - 26570,aulan
26019,Aurel - 26340,aurel
26020,La Répara-Auriples - 26400,la-repara-auriples
27001,Aclou - 27800,aclou
27002,Acon - 27570,acon
27003,Acquigny - 27400,acquigny
27004,Aigleville - 27120,aigleville
27005,Ailly - 27600,ailly
27006,Aizier - 27500,aizier
27008,Alizay - 27460,alizay
27009,Ambenay - 27250,ambenay
27010,Amécourt - 27140,amecourt
27011,Amfreville-Saint-Amand - 27370,amfreville-la-campagne
27012,Amfreville-les-Champs - 27380,amfreville-les-champs
27013,Amfreville-sous-les-Monts - 27380,amfreville-sous-les-monts
27014,Amfreville-sur-Iton - 27400,amfreville-sur-iton
27015,Andé - 27430,ande
27016,Les Andelys - 27700,les-andelys
27017,Angerville-la-Campagne - 27930,angerville-la-campagne
27018,Appeville-Annebault - 27290,appeville-annebault
27019,Armentières-sur-Avre - 27820,armentieres-sur-avre
27020,Arnières-sur-Iton - 27180,arnieres-sur-iton
27021,Asnières - 27260,asnieres
28001,Abondant - 28410,abondant
28002,Allaines-Mervilliers - 28310,allaines-mervilliers
28003,Allainville - 28500,allainville
28004,Allonnes - 28150,allonnes
28005,Alluyes - 28800,alluyes
28006,Amilly - 28300,amilly
28007,Anet - 28260,anet
28008,Ardelles - 28170,ardelles
28009,Ardelu - 28700,ardelu
28010,Argenvilliers - 28480,argenvilliers
28012,Commune nouvelle d'Arrou - 28290,arrou
28013,Aunay-sous-Auneau - 28700,aunay-sous-auneau
28014,Aunay-sous-Crécy - 28500,aunay-sous-crecy
28015,Auneau-Bleury-Saint-Symphorien - 28700,auneau
28016,Les Autels-Villevillon - 28330,les-autels-villevillon
28018,Authon-du-Perche - 28330,authon-du-perche
28019,Baigneaux - 28140,baigneaux
28021,Bailleau-le-Pin - 28120,bailleau-le-pin
28022,Bailleau-l'Évêque - 28300,bailleau-l-eveque
28023,Bailleau-Armenonville - 28320,bailleau-armenonville
29001,Argol - 29560,argol
29002,Arzano - 29300,arzano
29003,Audierne - 29770,audierne
29004,Bannalec - 29380,bannalec
29005,Baye - 29300,baye
29006,Bénodet - 29950,benodet
29007,Berrien - 29690,berrien
29008,Beuzec-Cap-Sizun - 29790,beuzec-cap-sizun
29010,Bodilis - 29400,bodilis
29011,Bohars - 29820,bohars
29012,Bolazec - 29640,bolazec
29013,Botmeur - 29690,botmeur
29014,Botsorhel - 29650,botsorhel
29015,Bourg-Blanc - 29860,bourg-blanc
29016,Brasparts - 29190,brasparts
29017,Brélès - 29810,breles
29018,Brennilis - 29690,brennilis
29019,Brest - 29200,brest
29020,Briec - 29510,briec
29021,Plounéour-Brignogan-plages - 29890,brignogan-plage
30001,Aigaliers - 30700,aigaliers
30002,Aigremont - 30350,aigremont
30003,Aigues-Mortes - 30220,aigues-mortes
30004,Aigues-Vives - 30670,aigues-vives-3
30005,Aiguèze - 30760,aigueze
30006,Aimargues - 30470,aimargues
30007,Alès - 30100,ales
30008,Allègre-les-Fumades - 30500,allegre-les-fumades
30009,Alzon - 30770,alzon
30010,Anduze - 30140,anduze
30011,Les Angles - 30133,les-angles
30012,Aramon - 30390,aramon
30013,Argilliers - 30210,argilliers
30014,Arpaillargues-et-Aureillac - 30700,arpaillargues-et-aureillac
30015,Arphy - 30120,arphy
30016,Arre - 30120,arre
30017,Arrigas - 30770,arrigas
30018,Aspères - 30250,asperes
30019,Aubais - 30250,aubais
30020,Aubord - 30620,aubord
31001,Agassac - 31230,agassac
31002,Aignes - 31550,aignes
31003,Aigrefeuille - 31280,aigrefeuille
31004,Ayguesvives - 31450,ayguesvives
31005,Alan - 31420,alan
31006,Albiac - 31460,albiac
31007,Ambax - 31230,ambax
31008,Anan - 31230,anan
31009,Antichan-de-Frontignes - 31510,antichan-de-frontignes
31010,Antignac - 31110,antignac-2
31011,Arbas - 31160,arbas
31012,Arbon - 31160,arbon
31013,Ardiège - 31210,ardiege
31014,Arguenos - 31160,arguenos
31015,Argut-Dessous - 31440,argut-dessous
31017,Arlos - 31440,arlos
31018,Arnaud-Guilhem - 31360,arnaud-guilhem
31019,Artigue - 31110,artigue
31020,Aspet - 31160,aspet
31021,Aspret-Sarrat - 31800,aspret-sarrat
32001,Aignan - 32290,aignan
32002,Ansan - 32270,ansan
32003,Antras - 32360,antras-2
32004,Arblade-le-Bas - 32720,arblade-le-bas
32005,Arblade-le-Haut - 32110,arblade-le-haut
32007,Ardizas - 32430,ardizas
32008,Armentieux - 32230,armentieux
32009,Armous-et-Cau - 32230,armous-et-cau
32010,Arrouède - 32140,arrouede
32012,Aubiet - 32270,aubiet
32013,Auch - 32000,auch
32014,Augnax - 32120,augnax
32015,Aujan-Mournède - 32300,aujan-mournede
32016,Auradé - 32600,aurade
32017,Aurensan - 32400,aurensan
32018,Aurimont - 32450,aurimont
32019,Auterive - 32550,auterive-2
32020,Aux-Aussat - 32170,aux-aussat
32021,Avensac - 32120,avensac
32022,Avéron-Bergelle - 32290,averon-bergelle
24189,Fougueyrolles - 33220,fougueyrolles
24335,Port-Sainte-Foy-et-Ponchapt - 33220,port-sainte-foy-et-ponchapt
33001,Abzac - 33230,abzac-2
33002,Aillas - 33124,aillas
33003,Ambarès-et-Lagrave - 33440,ambares-et-lagrave
33004,Ambès - 33810,ambes
33005,Andernos-les-Bains - 33510,andernos-les-bains
33006,Anglade - 33390,anglade
33007,Arbanats - 33640,arbanats
33008,Arbis - 33760,arbis
33009,Arcachon - 33120,arcachon
33010,Arcins - 33460,arcins
33011,Arès - 33740,ares
33012,Arsac - 33460,arsac
33013,Artigues-près-Bordeaux - 33370,artigues-pres-bordeaux
33014,Les Artigues-de-Lussac - 33570,les-artigues-de-lussac
33015,Arveyres - 33500,arveyres
33016,Asques - 33240,asques
33017,Aubiac - 33430,aubiac
33018,Val de Virvée - 33240,aubie-et-espessas
34001,Abeilhan - 34290,abeilhan
34002,Adissan - 34230,adissan
34003,Agde - 34300,agde
34004,Agel - 34210,agel
34005,Agonès - 34190,agones
34006,Aigne - 34210,aigne
34007,Aigues-Vives - 34210,aigues-vives-4
34008,Les Aires - 34600,les-aires
34009,Alignan-du-Vent - 34290,alignan-du-vent
34010,Aniane - 34150,aniane
34011,Arboras - 34150,arboras
34012,Argelliers - 34380,argelliers
34013,Aspiran - 34800,aspiran
34014,Assas - 34820,assas
34015,Assignan - 34360,assignan
34016,Aumelas - 34230,aumelas
34017,Aumes - 34530,aumes
