url,marque,id_variante,nom_attr_1,val_attr_1,nom_attr_2,val_attr_2,nom_attr_3,val_attr_3,nom_attr_4,val_attr_4,nom_attr_5,val_attr_5,nom_attr_6,val_attr_6,nom_attr_7,val_attr_7,designation,reference,sku,code_article_fournisseur,descritptif,prix_reference,prix_promo_unitaire,quantite_degressif_1,prix_promo_degressif_1,quantite_degressif_2,prix_promo_degressif_2,quantite_degressif_3,prix_promo_degressif_3,quantite_degressif_4,prix_promo_degressif_4
/shop/product/product-25528?page=1408,,25528,,,,,,,,,,,,,,,ALU TRAY AUTOCLAVABLE EURONDA,68.420186,,,,28.1,,,,,,,,,
/shop/product/product-25527?page=1408,,25527,,,,,,,,,,,,,,,BORDER-LOCK DISPO BETAND 8BK 42-49,67.5411,,,,86.4,,,,,,,,,
/shop/product/product-25525?page=1408,,25525,,,,,,,,,,,,,,,EPIPHANY POINT 04/40/50 REALSEAL 972-2440 50P,64.PEN59TBF,,,,44.15,,,,,,,,,
/shop/product/product-25524?page=1408,,25524,,,,,,,,,,,,,,,SIMILE SYRINGE 4G A1,64.PEN56AA,,,,73.06,,,,,,,,,
/shop/product/product-3434?page=1015,,3434,,,,,,,,,,,,,,,LUNA GOLD ROULEAUX NR2 1000PCS,08.109102,,,,29.05,,,,,,,,,
/shop/product/product-3433?page=1015,,3433,,,,,,,,,,,,,,,SYNERGY D6 DENTIN A1/B1 TIPS 10PCS,07.8376,,,,38,,,,,,,,,
/shop/product/product-3432?page=1015,,3432,,,,,,,,,,,,,,,TRAY ARCADES QUADRANT SUP DROIT/INF GAUCHE NR8,07.6908,,,,20.9,,,,,,,,,
/shop/product/product-3431?page=1015,,3431,,,,,,,,,,,,,,,TRAY ARCADES QUADRANT INF GAUCHE/SUP DROIT NR7,07.6907,,,,20.9,,,,,,,,,
/shop/product/product-3430?page=1015,,3430,,,,,,,,,,,,,,,TRAY ARCADES INF NR 6,07.6906,,,,20.9,,,,,,,,,
/shop/product/product-3429?page=1015,,3429,,,,,,,,,,,,,,,TRAY ARCADES SUP NR5,07.6905,,,,20.9,,,,,,,,,
/shop/product/product-3428?page=1015,,3428,,,,,,,,,,,,,,,TRAY ARCADES INF NR2,07.6902,,,,20.9,,,,,,,,,
/shop/product/product-3427?page=1015,,3427,,,,,,,,,,,,,,,TRAY ARCADES SUP NR1,07.6901,,,,20.9,,,,,,,,,
/shop/product/product-3420?page=1015,,3420,,,,,,,,,,,,,,,JET BITE SYSTEM 50 2X50ML,07.6400,,,,86.26,,,,,,,,,
/shop/product/product-3418?page=1015,,3418,,,,,,,,,,,,,,,SYNERGY D6 FLOW A3/D3,07.7653,,,,57.2,,,,,,,,,
/shop/product/product-3413?page=1015,,3413,,,,,,,,,,,,,,,A.R.T. BOND PRIMER A&B 2X5ML,07.7364,,,,167.6,,,,,,,,,
/shop/product/product-3412?page=1015,,3412,,,,,,,,,,,,,,,A.R.T. BOND SINGLE PACK 5ML,07.7363,,,,128.05,,,,,,,,,
/shop/product/product-2613?page=228,,2613,,,,,,,,,,,,,,,CERASMART 270 12 B1 LT,06.012562,,,,127.55,,,,,,,,,
/shop/product/product-2612?page=228,,2612,,,,,,,,,,,,,,,CERASMART 270 12A3.5 HT,06.012555,,,,127.55,,,,,,,,,
/shop/product/product-2611?page=228,,2611,,,,,,,,,,,,,,,RELINE II EXTRA SOFT CARTOUCHE 48ML.,06.010268,,,,85.15,76.85,,,,,,,,
/shop/product/product-2606?page=228,,2606,,,,,,,,,,,,,,,TEMPSMART DC 48ML. CARTRIDGE BW,06.012765,,,,145.6,124.9,1,124.9,2,109.9,,,,
/shop/product/product-2605?page=228,,2605,,,,,,,,,,,,,,,CERASMART 270 14L B1 LT,06.012634,,,,151.06,,,,,,,,,
/shop/product/product-2604?page=228,,2604,,,,,,,,,,,,,,,CERASMART 270 14L A1 LT,06.012629,,,,151.06,,,,,,,,,
